,timestamp_start,timestamp_end,qSQI_score,cSQI_score,sSQI_score,kSQI_score,pSQI_score,basSQI_score,annot_2,annot_3,record,consensus
113,2020-12-18 13:03:46.000000000,2020-12-18 13:03:48.000000000,0.667,0.601,0.278,1.363,0.492,0.883,1,1,emg6+emg6- 77,1
114,2020-12-18 13:03:48.000000000,2020-12-18 13:03:50.000000000,0.667,0.565,1.458,5.396,0.435,0.96,1,1,emg6+emg6- 77,1
115,2020-12-18 13:03:50.000000000,2020-12-18 13:03:52.000000000,0.667,0.559,1.548,5.857,0.486,0.964,1,1,emg6+emg6- 77,1
116,2020-12-18 13:03:52.000000000,2020-12-18 13:03:54.000000000,0.667,0.593,1.24,5.341,0.475,0.943,1,1,emg6+emg6- 77,1
117,2020-12-18 13:03:54.000000000,2020-12-18 13:03:56.000000000,1.0,0.638,1.269,6.23,0.44,0.945,1,1,emg6+emg6- 77,1
118,2020-12-18 13:03:56.000000000,2020-12-18 13:03:58.000000000,1.0,0.657,1.307,5.655,0.478,0.951,1,1,emg6+emg6- 77,1
119,2020-12-18 13:03:58.000000000,2020-12-18 13:04:00.000000000,0.8,0.692,1.229,5.9,0.488,0.955,1,1,emg6+emg6- 77,1
120,2020-12-18 13:04:00.000000000,2020-12-18 13:04:02.000000000,0.8,0.748,1.669,6.112,0.518,0.971,1,1,emg6+emg6- 77,1
121,2020-12-18 13:04:02.000000000,2020-12-18 13:04:04.000000000,0.667,0.863,1.285,5.722,0.44,0.975,1,1,emg6+emg6- 77,1
122,2020-12-18 13:04:04.000000000,2020-12-18 13:04:06.000000000,1.0,0.477,1.279,6.458,0.381,0.966,1,1,emg6+emg6- 77,1
123,2020-12-18 13:04:06.000000000,2020-12-18 13:04:08.000000000,1.0,0.47,1.519,6.273,0.429,0.965,1,1,emg6+emg6- 77,1
124,2020-12-18 13:04:08.000000000,2020-12-18 13:04:10.000000000,0.857,0.824,1.275,4.692,0.486,0.948,1,1,emg6+emg6- 77,1
125,2020-12-18 13:04:10.000000000,2020-12-18 13:04:12.000000000,0.667,0.514,1.356,5.899,0.503,0.978,1,1,emg6+emg6- 77,1
126,2020-12-18 13:04:12.000000000,2020-12-18 13:04:14.000000000,0.667,0.579,0.894,3.379,0.528,0.94,1,1,emg6+emg6- 77,1
127,2020-12-18 13:04:14.000000000,2020-12-18 13:04:16.000000000,0.8,0.684,1.467,5.356,0.502,0.951,1,1,emg6+emg6- 77,1
128,2020-12-18 13:04:16.000000000,2020-12-18 13:04:18.000000000,0.8,0.77,1.264,5.716,0.502,0.954,1,1,emg6+emg6- 77,1
129,2020-12-18 13:04:18.000000000,2020-12-18 13:04:20.000000000,0.8,0.796,1.119,5.507,0.436,0.971,1,1,emg6+emg6- 77,1
130,2020-12-18 13:04:20.000000000,2020-12-18 13:04:22.000000000,0.8,0.811,1.411,6.18,0.481,0.98,1,1,emg6+emg6- 77,1
131,2020-12-18 13:04:22.000000000,2020-12-18 13:04:24.000000000,0.667,0.846,1.103,5.126,0.505,0.967,1,1,emg6+emg6- 77,1
132,2020-12-18 13:04:24.000000000,2020-12-18 13:04:26.000000000,1.0,0.475,1.875,5.744,0.458,0.977,1,1,emg6+emg6- 77,1
133,2020-12-18 13:04:26.000000000,2020-12-18 13:04:28.000000000,1.0,0.461,0.966,4.218,0.501,0.948,1,1,emg6+emg6- 77,1
134,2020-12-18 13:04:28.000000000,2020-12-18 13:04:30.000000000,0.8,0.876,1.313,5.174,0.534,0.961,1,1,emg6+emg6- 77,1
135,2020-12-18 13:04:30.000000000,2020-12-18 13:04:32.000000000,0.8,0.826,1.461,5.082,0.502,0.98,1,1,emg6+emg6- 77,1
136,2020-12-18 13:04:32.000000000,2020-12-18 13:04:34.000000000,0.8,0.79,1.364,5.777,0.417,0.968,1,1,emg6+emg6- 77,1
137,2020-12-18 13:04:34.000000000,2020-12-18 13:04:36.000000000,0.8,0.775,1.335,5.364,0.481,0.973,1,1,emg6+emg6- 77,1
138,2020-12-18 13:04:36.000000000,2020-12-18 13:04:38.000000000,0.8,0.71,1.371,5.017,0.486,0.985,1,1,emg6+emg6- 77,1
139,2020-12-18 13:04:38.000000000,2020-12-18 13:04:40.000000000,1.0,0.65,1.242,5.303,0.52,0.961,1,1,emg6+emg6- 77,1
140,2020-12-18 13:04:40.000000000,2020-12-18 13:04:42.000000000,0.667,0.614,1.236,5.188,0.436,0.957,1,1,emg6+emg6- 77,1
141,2020-12-18 13:04:42.000000000,2020-12-18 13:04:44.000000000,0.667,0.611,1.404,4.853,0.44,0.966,1,1,emg6+emg6- 77,1
142,2020-12-18 13:04:44.000000000,2020-12-18 13:04:46.000000000,0.667,0.605,0.823,1.813,0.485,0.92,1,1,emg6+emg6- 77,1
143,2020-12-18 13:04:46.000000000,2020-12-18 13:04:48.000000000,1.0,0.618,1.635,7.44,0.509,0.972,1,1,emg6+emg6- 77,1
144,2020-12-18 13:04:48.000000000,2020-12-18 13:04:50.000000000,0.8,0.696,1.626,7.733,0.511,0.955,1,1,emg6+emg6- 77,1
145,2020-12-18 13:04:50.000000000,2020-12-18 13:04:52.000000000,0.8,0.797,1.791,8.252,0.516,0.989,1,1,emg6+emg6- 77,1
146,2020-12-18 13:04:52.000000000,2020-12-18 13:04:54.000000000,0.857,0.806,1.425,5.57,0.478,0.992,1,1,emg6+emg6- 77,1
147,2020-12-18 13:04:54.000000000,2020-12-18 13:04:56.000000000,0.667,0.516,1.693,6.571,0.51,0.957,1,1,emg6+emg6- 77,1
148,2020-12-18 13:04:56.000000000,2020-12-18 13:04:58.000000000,0.667,0.569,1.519,6.645,0.506,0.942,1,1,emg6+emg6- 77,1
